region,DateRep,Cases,Deaths,population
SC,2020-02-13T00:00:00Z,0,0,7252502
SUL,2020-02-13T00:00:00Z,0,0,999701
AVI,2020-02-14T00:00:00Z,0,0,1077659
FVI,2020-02-14T00:00:00Z,0,0,698912
GFL,2020-02-14T00:00:00Z,0,0,1189947
GOE,2020-02-14T00:00:00Z,0,0,792895
MOS,2020-02-14T00:00:00Z,0,0,916252
PNN,2020-02-14T00:00:00Z,0,0,1400128
SC,2020-02-14T00:00:00Z,0,0,7252502
SUL,2020-02-14T00:00:00Z,0,0,999701
AVI,2020-02-15T00:00:00Z,0,0,1077659
FVI,2020-02-15T00:00:00Z,0,0,698912
GFL,2020-02-15T00:00:00Z,0,0,1189947
GOE,2020-02-15T00:00:00Z,0,0,792895
MOS,2020-02-15T00:00:00Z,0,0,916252
PNN,2020-02-15T00:00:00Z,0,0,1400128
SC,2020-02-15T00:00:00Z,0,0,7252502
SUL,2020-02-15T00:00:00Z,0,0,999701
AVI,2020-02-16T00:00:00Z,0,0,1077659
FVI,2020-02-16T00:00:00Z,0,0,698912
GFL,2020-02-16T00:00:00Z,0,0,1189947
GOE,2020-02-16T00:00:00Z,0,0,792895
MOS,2020-02-16T00:00:00Z,0,0,916252
PNN,2020-02-16T00:00:00Z,0,0,1400128
SC,2020-02-16T00:00:00Z,0,0,7252502
SUL,2020-02-16T00:00:00Z,0,0,999701
AVI,2020-02-17T00:00:00Z,0,0,1077659
FVI,2020-02-17T00:00:00Z,0,0,698912
GFL,2020-02-17T00:00:00Z,0,0,1189947
GOE,2020-02-17T00:00:00Z,0,0,792895
MOS,2020-02-17T00:00:00Z,0,0,916252
PNN,2020-02-17T00:00:00Z,0,0,1400128
SC,2020-02-17T00:00:00Z,0,0,7252502
SUL,2020-02-17T00:00:00Z,0,0,999701
AVI,2020-02-18T00:00:00Z,0,0,1077659
FVI,2020-02-18T00:00:00Z,0,0,698912
GFL,2020-02-18T00:00:00Z,0,0,1189947
GOE,2020-02-18T00:00:00Z,0,0,792895
MOS,2020-02-18T00:00:00Z,0,0,916252
PNN,2020-02-18T00:00:00Z,0,0,1400128
SC,2020-02-18T00:00:00Z,0,0,7252502
SUL,2020-02-18T00:00:00Z,0,0,999701
AVI,2020-02-19T00:00:00Z,0,0,1077659
FVI,2020-02-19T00:00:00Z,0,0,698912
GFL,2020-02-19T00:00:00Z,0,0,1189947
GOE,2020-02-19T00:00:00Z,0,0,792895
MOS,2020-02-19T00:00:00Z,0,0,916252
PNN,2020-02-19T00:00:00Z,0,0,1400128
SC,2020-02-19T00:00:00Z,0,0,7252502
SUL,2020-02-19T00:00:00Z,0,0,999701
AVI,2020-02-20T00:00:00Z,0,0,1077659
FVI,2020-02-20T00:00:00Z,0,0,698912
GFL,2020-02-20T00:00:00Z,0,0,1189947
GOE,2020-02-20T00:00:00Z,0,0,792895
MOS,2020-02-20T00:00:00Z,0,0,916252
PNN,2020-02-20T00:00:00Z,0,0,1400128
SC,2020-02-20T00:00:00Z,0,0,7252502
SUL,2020-02-20T00:00:00Z,0,0,999701
AVI,2020-02-21T00:00:00Z,0,0,1077659
FVI,2020-02-21T00:00:00Z,0,0,698912
GFL,2020-02-21T00:00:00Z,0,0,1189947
GOE,2020-02-21T00:00:00Z,0,0,792895
MOS,2020-02-21T00:00:00Z,0,0,916252
PNN,2020-02-21T00:00:00Z,0,0,1400128
SC,2020-02-21T00:00:00Z,0,0,7252502
SUL,2020-02-21T00:00:00Z,0,0,999701
AVI,2020-02-22T00:00:00Z,0,0,1077659
FVI,2020-02-22T00:00:00Z,0,0,698912
GFL,2020-02-22T00:00:00Z,0,0,1189947
GOE,2020-02-22T00:00:00Z,0,0,792895
MOS,2020-02-22T00:00:00Z,0,0,916252
PNN,2020-02-22T00:00:00Z,0,0,1400128
SC,2020-02-22T00:00:00Z,0,0,7252502
SUL,2020-02-22T00:00:00Z,0,0,999701
AVI,2020-02-23T00:00:00Z,0,0,1077659
